gracz;pkt;zbierak;farma;suma;komendy;
   Jagd-Staffel;1681;84994;50208;135202;WAHR;
  Jamal12511;1667;87645;44932;132577;WAHR;
   Pablo Lee;1482;73542;2638;76180;WAHR;
   GramTutaj;1466;60729;12024;72753;WAHR;
  SparrowShadow;1430;73488;6479;79967;WAHR;
   dziadek einstein;1430;69542;32966;102508;WAHR;
   turysta73;1387;85064;9434;94498;WAHR;
  Randewu;1352;52668;14823;67491;WAHR;
   OldFallen;1304;37320;16886;54206;WAHR;
  LeonFinn2012;1217;37725;5013;42738;WAHR;
   Morthimerus;1211;43791;20551;64342;WAHR;
   Zahar Waleczny;1210;80764;33207;113971;FALSCH;Napisac o komendy
  kamilos190;1188;23717;6503;30220;FALSCH;Napisac o komendy
  adiking675;1177;29924;4749;34673;WAHR;
  patrykm2001;1173;24944;6051;30995;FALSCH;Napisac o komendy
   MoniaM;1142;61721;3439;65160;WAHR;
  Rastabiel;1141;43211;1412;44623;WAHR;
  Madame Donia;1134;45523;106;45629;WAHR;
  Abrakadabra;1126;12165;3029;15194;WAHR;
   mrsdarkness;1121;54876;4245;59121;FALSCH;
   This is the end;1110;35284;4977;40261;WAHR;
  Ladzia82;1082;61494;20530;82024;WAHR;
  kemot199720;1029;14025;1302;15327;WAHR;
  Opti0;1007;40184;344;40528;FALSCH;Napisac o komendy
  Lady Gabriela;1004;11186;1609;12795;WAHR;
  Lord JestemLegenda;995;37426;0;37426;WAHR;
  Nieogarniator;989;25775;837;26612;FALSCH;Napisac o komendy
  WezWyjdz;984;47871;262;48133;FALSCH;
  Rutalo;971;37739;7672;45411;WAHR;
  miguel1414;926;13259;11157;24416;FALSCH;
  Zawisza19461908;910;28913;2131;31044;WAHR;
  joshuwa88;881;32938;687;33625;WAHR;
  VVampir;878;21765;25054;46819;WAHR;
  GandalfSrebrny;870;32356;0;32356;FALSCH;
  Gurzynek;867;58368;3355;61723;WAHR;
Barracuda600;840;18642;4538;23180;WAHR;
  mariusz1228;831;10113;9036;19149;FALSCH;
  WakaMakaFa;754;9331;4707;14038;WAHR;
  orchis;751;0;513;513;WAHR;
  dachu5;616;9189;9129;18318;WAHR;
  Malibu 369;609;42311;513;42824;WAHR;
   bloodyrider;580;1156;2246;3402;WAHR;
  samson121;575;19320;250;19570;WAHR;
  Titek;560;438;2839;3277;FALSCH;Farmowo
  Sir of Dark;554;1025;1664;2689;WAHR;
  Acrobat95;544;1178;1303;2481;WAHR;
   Santiagopazgalego;464;5126;900;6026;FALSCH;
  Selvanwolfcry;220;8584;1011;9595;WAHR;
